found_minima,found_saddles,bias_count,energy_calls_at_each_min,force_calls_at_each_min,run_id,seed,bias_std_dev_scale,bias_covariance,bias_height_fraction,bias_height,perturbation_size,optimizer
"[array([0.62349941, 0.02803776]), array([-0.05001083,  0.46669411]), array([-0.55822362,  1.44172586])]","[array([0.12761227, 0.13441374]), array([-0.81768645,  0.61332394]), array([0.12761227, 0.13441374]), array([-0.81768645,  0.61332394])]",122,"[101, 2883, 14200]","[101, 2883, 14200]",843,4,0.125,0.004726562500000001,0.2,7.6000000000000005,0.005,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05001087,  0.46669412]), array([-0.55822365,  1.44172583])]","[array([0.23530844, 0.33213547]), array([-0.87858155,  0.52272385]), array([0.23530844, 0.33213547]), array([-0.87858155,  0.52272385])]",160,"[101, 2578, 19134]","[101, 2578, 19134]",844,5,0.125,0.004726562500000001,0.2,7.6000000000000005,0.005,FIRE
"[array([0.62349941, 0.02803776]), array([-0.55822363,  1.44172584])]","[array([0.17274212, 0.09723122]), array([0.17274212, 0.09723122])]",5000,"[13, 326]","[13, 326]",115,6,0.3333333333333333,0.03361111111111112,0.1,3.8000000000000003,0.01,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001079,  0.4666941 ]), array([-0.55822364,  1.44172584])]","[array([0.09158403, 0.20281597]), array([-0.83094498,  0.53880089]), array([0.09158403, 0.20281597]), array([-0.83094498,  0.53880089])]",97,"[101, 2907, 11548]","[101, 2907, 11548]",845,6,0.125,0.004726562500000001,0.2,7.6000000000000005,0.005,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05001084,  0.46669411]), array([-0.55822362,  1.44172586])]","[array([0.26367312, 0.28818069]), array([-0.82280104,  0.62264227]), array([0.26367312, 0.28818069]), array([-0.82280104,  0.62264227])]",98,"[101, 2112, 11350]","[101, 2112, 11350]",846,7,0.125,0.004726562500000001,0.2,7.6000000000000005,0.005,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05001081,  0.46669411]), array([-0.55822363,  1.44172585])]","[array([0.24248277, 0.29777397]), array([-0.79087785,  0.49743396]), array([0.24248277, 0.29777397]), array([-0.79087785,  0.49743396])]",102,"[101, 2097, 11960]","[101, 2097, 11960]",847,8,0.125,0.004726562500000001,0.2,7.6000000000000005,0.005,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05001079,  0.4666941 ]), array([-0.55822362,  1.44172586])]","[array([0.12494171, 0.21730556]), array([-0.87226864,  0.526645  ]), array([0.12494171, 0.21730556]), array([-0.87226864,  0.526645  ])]",110,"[101, 3615, 12720]","[101, 3615, 12720]",848,9,0.125,0.004726562500000001,0.2,7.6000000000000005,0.005,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05012705,  0.46672166]), array([-0.55822365,  1.44172582])]","[array([0.22088314, 0.27500793]), array([-0.82371015,  0.59145362]), array([0.22088314, 0.27500793]), array([-0.82371015,  0.59145362])]",1106,"[101, 22868, 132179]","[101, 22868, 132179]",782,3,0.2,0.012100000000000003,0.01,0.38,0.001,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05001113,  0.46669417]), array([-0.55822364,  1.44172584])]","[array([0.24066745, 0.32130092]), array([-0.21141923,  0.1428321 ]), array([0.24066745, 0.32130092]), array([-0.21141923,  0.1428321 ])]",165,"[101, 2468, 19685]","[101, 2468, 19685]",849,10,0.125,0.004726562500000001,0.2,7.6000000000000005,0.005,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05001083,  0.46669411]), array([-0.55822363,  1.44172584])]","[array([0.13147063, 0.06817368]), array([-0.07534997,  0.31146024]), array([0.13147063, 0.06817368]), array([-0.07534997,  0.31146024])]",32,"[13, 590, 728]","[13, 590, 728]",850,1,0.125,0.004726562500000001,0.2,7.6000000000000005,0.005,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001082,  0.4666941 ]), array([-0.55822363,  1.44172584])]","[array([-0.07982477,  0.31270153]), array([-0.15295997,  0.40617256]), array([-0.07982477,  0.31270153]), array([-0.15295997,  0.40617256])]",28,"[13, 527, 608]","[13, 527, 608]",851,2,0.125,0.004726562500000001,0.2,7.6000000000000005,0.005,Scipy
"[array([0.62349941, 0.02803776]), array([-0.55822363,  1.44172584]), array([-0.05001082,  0.4666941 ])]","[array([0.06527482, 0.46450172]), array([-1.06251572,  0.79652521]), array([0.06527482, 0.46450172]), array([-1.06251572,  0.79652521])]",115,"[13, 485, 2543]","[13, 485, 2543]",852,3,0.125,0.004726562500000001,0.2,7.6000000000000005,0.005,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001085,  0.46669411]), array([-0.55822364,  1.44172583])]","[array([0.14611543, 0.20891408]), array([-0.3945961 ,  0.49620577]), array([0.14611543, 0.20891408]), array([-0.3945961 ,  0.49620577])]",41,"[13, 713, 917]","[13, 713, 917]",853,4,0.125,0.004726562500000001,0.2,7.6000000000000005,0.005,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001082,  0.4666941 ]), array([-0.55822363,  1.44172584])]","[array([0.18882772, 0.42511021]), array([ 0.18755773, -0.04469772]), array([0.18882772, 0.42511021]), array([ 0.18755773, -0.04469772])]",45,"[13, 406, 951]","[13, 406, 951]",854,5,0.125,0.004726562500000001,0.2,7.6000000000000005,0.005,Scipy
"[array([0.62349941, 0.02803776]), array([-0.05001083,  0.46669411]), array([-0.55822363,  1.44172584])]","[array([0.29349045, 0.22220811]), array([ 0.31190194, -0.10079331]), array([0.29349045, 0.22220811]), array([ 0.31190194, -0.10079331])]",41,"[13, 517, 893]","[13, 517, 893]",855,6,0.125,0.004726562500000001,0.2,7.6000000000000005,0.005,Scipy
