found_minima,found_saddles,bias_count,energy_calls_at_each_min,force_calls_at_each_min,run_id,seed,bias_std_dev_scale,bias_covariance,bias_height_fraction,bias_height,perturbation_size,optimizer
"[array([0.62349941, 0.02803776]), array([-0.55822268,  1.44172708])]","[array([-0.84433025,  0.60720933]), array([-0.84433025,  0.60720933])]",5000,"[101, 66587]","[101, 66587]",340,1,0.3333333333333333,0.03361111111111112,0.01,0.38,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.55822255,  1.44172723])]","[array([-0.84034671,  0.60287641]), array([-0.84034671,  0.60287641])]",5000,"[101, 35929]","[101, 35929]",260,1,0.3333333333333333,0.03361111111111112,0.02,0.76,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.55822201,  1.44172791])]","[array([-0.85541077,  0.58604923]), array([-0.85541077,  0.58604923])]",5000,"[101, 4344]","[101, 4344]",40,1,0.3333333333333333,0.03361111111111112,0.2,7.6000000000000005,0.005,FIRE
"[array([0.62349941, 0.02803776]), array([-0.55822253,  1.44172725])]","[array([-0.82888297,  0.59039487]), array([-0.82888297,  0.59039487])]",5000,"[101, 7815]","[101, 7815]",101,2,0.3333333333333333,0.03361111111111112,0.1,3.8000000000000003,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.55822209,  1.44172781])]","[array([-0.25088468,  0.14220906]), array([-0.25088468,  0.14220906])]",5000,"[101, 5566]","[101, 5566]",21,2,0.3333333333333333,0.03361111111111112,0.2,7.6000000000000005,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05568351,  0.4680066 ]), array([-0.55822259,  1.44172718])]","[array([0.16255773, 0.22964669]), array([-0.8388647,  0.5909532]), array([0.16255773, 0.22964669]), array([-0.8388647,  0.5909532])]",21,"[101, 1283, 2350]","[101, 1283, 2350]",22,3,0.3333333333333333,0.03361111111111112,0.2,7.6000000000000005,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05751293,  0.46846682]), array([-0.55822223,  1.44172761])]","[array([0.15263307, 0.25193678]), array([-0.84551411,  0.60181674]), array([0.15263307, 0.25193678]), array([-0.84551411,  0.60181674])]",41,"[101, 981, 4746]","[101, 981, 4746]",23,4,0.3333333333333333,0.03361111111111112,0.2,7.6000000000000005,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.55822263,  1.44172712])]","[array([-0.84523464,  0.60240609]), array([-0.84523464,  0.60240609])]",5000,"[101, 20972]","[101, 20972]",181,2,0.3333333333333333,0.03361111111111112,0.03333333333333333,1.2666666666666666,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.55822263,  1.44172714])]","[array([-0.83144575,  0.59639791]), array([-0.83144575,  0.59639791])]",5000,"[101, 58673]","[101, 58673]",341,2,0.3333333333333333,0.03361111111111112,0.01,0.38,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.55822254,  1.44172722])]","[array([-0.83066085,  0.59353434]), array([-0.83066085,  0.59353434])]",5000,"[101, 32110]","[101, 32110]",261,2,0.3333333333333333,0.03361111111111112,0.02,0.76,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.5582221 ,  1.44172779])]","[array([-0.25147119,  0.14313206]), array([-0.25147119,  0.14313206])]",5000,"[101, 5470]","[101, 5470]",41,2,0.3333333333333333,0.03361111111111112,0.2,7.6000000000000005,0.005,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05568358,  0.46800661]), array([-0.55822259,  1.44172718])]","[array([0.15748288, 0.24473728]), array([-0.84373104,  0.59425335]), array([0.15748288, 0.24473728]), array([-0.84373104,  0.59425335])]",21,"[101, 1284, 2331]","[101, 1284, 2331]",42,3,0.3333333333333333,0.03361111111111112,0.2,7.6000000000000005,0.005,FIRE
"[array([0.62349941, 0.02803776]), array([-0.05751297,  0.46846682]), array([-0.55822224,  1.44172759])]","[array([0.15421265, 0.24617558]), array([-0.85341076,  0.6076975 ]), array([0.15421265, 0.24617558]), array([-0.85341076,  0.6076975 ])]",41,"[101, 1131, 4637]","[101, 1131, 4637]",43,4,0.3333333333333333,0.03361111111111112,0.2,7.6000000000000005,0.005,FIRE
"[array([0.62349941, 0.02803776]), array([-0.55822208,  1.44172781])]","[array([-0.86780799,  0.55842313]), array([-0.86780799,  0.55842313])]",5000,"[101, 5071]","[101, 5071]",24,5,0.3333333333333333,0.03361111111111112,0.2,7.6000000000000005,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.55822258,  1.44172719])]","[array([-0.82466957,  0.58436593]), array([-0.82466957,  0.58436593])]",5000,"[101, 7513]","[101, 7513]",102,3,0.3333333333333333,0.03361111111111112,0.1,3.8000000000000003,0.01,FIRE
"[array([0.62349941, 0.02803776]), array([-0.55822263,  1.44172713])]","[array([-0.8210138 ,  0.58820991]), array([-0.8210138 ,  0.58820991])]",5000,"[101, 21727]","[101, 21727]",182,3,0.3333333333333333,0.03361111111111112,0.03333333333333333,1.2666666666666666,0.01,FIRE
