run_id,saddle_error_mean,saddle_error_stdv,minima_error_mean,minima_error_stdv,bias_count_mean,bias_count_stdv,energy_calls_mean,energy_calls_stdv,force_calls_mean,force_calls_stdv,bias_std_dev_scale,bias_covariance,bias_height_fraction,bias_height,perturbation_size,optimizer
123,0.17118743609683965,0.06940715602881087,0.4018816413251694,0.4018816413251694,54.666666666666664,19.601587237318874,"[13.0, 948.0, 2136.6666666666665]","[0.0, 344.7965583741617, 1019.3207978300496]","[13.0, 948.0, 2136.6666666666665]","[0.0, 344.7965583741617, 1019.3207978300496]",0.1,0.003025,0.2,7.6,0.01,Scipy
124,0.21381998635609087,0.1685877299226041,0.40188164593749987,0.4018816459374999,210.0,19.131126469708992,"[104.0, 4508.0, 28580.333333333332]","[0.0, 717.2675000769704, 2483.343087229167]","[104.0, 4508.0, 28580.333333333332]","[0.0, 717.2675000769704, 2483.343087229167]",0.1,0.003025,0.2,7.6,0.001,FIRE
125,0.22906389166910582,0.12203690541689194,0.4018816413251694,0.4018816413251694,48.666666666666664,13.021349989749739,"[13.0, 1691.6666666666667, 2618.6666666666665]","[0.0, 413.1515729393054, 949.095124608464]","[13.0, 1691.6666666666667, 2618.6666666666665]","[0.0, 413.1515729393054, 949.095124608464]",0.1,0.003025,0.2,7.6,0.001,Scipy
126,0.3203300378684841,0.23718443477724094,0.4018816459374999,0.4018816459374999,223.0,19.8158185969358,"[104.0, 5849.666666666667, 30910.0]","[0.0, 1472.731777646184, 2632.4153674271593]","[104.0, 5849.666666666667, 30910.0]","[0.0, 1472.731777646184, 2632.4153674271593]",0.1,0.003025,0.2,7.6,0.0001,FIRE
127,0.2579126315453447,0.09718304035977561,0.401881642234758,0.401881642234758,84.66666666666667,35.64952859280034,"[13.0, 2453.0, 4470.333333333333]","[0.0, 371.08040458459493, 1490.2877425368415]","[13.0, 2453.0, 4470.333333333333]","[0.0, 371.08040458459493, 1490.2877425368415]",0.1,0.003025,0.2,7.6,0.0001,Scipy
128,0.7933185682522733,0.10126807200477447,0.401881642234758,0.401881642234758,366.0,115.73533024390895,"[104.0, 8420.333333333334, 47517.0]","[0.0, 399.27962911000384, 15156.10671203745]","[104.0, 8420.333333333334, 47517.0]","[0.0, 399.27962911000384, 15156.10671203745]",0.1,0.003025,0.1,3.8,0.1,FIRE
129,0.6578116171709696,0.13615508587253888,0.2679210951263682,0.37889764637356205,175.66666666666666,87.24422935389798,"[13.0, 2044.3333333333333, 7201.333333333333]","[0.0, 982.4287364599136, 4475.468417445883]","[13.0, 2044.3333333333333, 7201.333333333333]","[0.0, 982.4287364599136, 4475.468417445883]",0.1,0.003025,0.1,3.8,0.1,Scipy
130,0.09305228249317231,0.12210902746483095,0.40188164363133466,0.4018816436313347,341.0,101.09731285581564,"[104.0, 9237.666666666666, 45661.0]","[0.0, 1469.5523883898193, 13487.096129263704]","[104.0, 9237.666666666666, 45661.0]","[0.0, 1469.5523883898193, 13487.096129263704]",0.1,0.003025,0.1,3.8,0.01,FIRE
131,0.21203273773714226,0.2713333294961558,0.13396054877505648,0.29954488889206654,195.0,87.3040663428686,"[13.0, 2096.6666666666665, 8233.333333333334]","[0.0, 687.1372174140733, 3530.521617111116]","[13.0, 2096.6666666666665, 8233.333333333334]","[0.0, 687.1372174140733, 3530.521617111116]",0.1,0.003025,0.1,3.8,0.01,Scipy
132,0.03583587559801366,0.022357499230892135,0.40188164454092323,0.4018816445409233,337.0,35.33647784749729,"[104.0, 10152.0, 45461.333333333336]","[0.0, 853.9215420634381, 4732.792363452632]","[104.0, 10152.0, 45461.333333333336]","[0.0, 853.9215420634381, 4732.792363452632]",0.1,0.003025,0.1,3.8,0.001,FIRE
